,arb / ret,bidask/ ret,arb/ bidask
USDGBP ask,"[0.24, 0.0]","[0.25, 0.0]","[0.39, 0.0]"
USDGBP bid,"[0.09, 0.0]","[0.09, 0.0]","[0.09, 0.0]"
USDJPY ask,"[0.01, 0.0]","[0.04, 0.0]","[0.06, 0.0]"
USDJPY bid,"[0.01, 0.0]","[0.05, 0.0]","[0.06, 0.0]"
USDEUR ask,"[0.09, 0.0]","[0.06, 0.0]","[0.0, 0.02]"
USDEUR bid,"[0.09, 0.0]","[0.12, 0.0]","[0.0, 0.0]"
