,P00,P01,P10,P11
0,0.9995974188219825,0.0004025811780174382,0.041866369328711205,0.9581336306712889
1,0.9996015573014572,0.00039844269854292055,0.04111423232901903,0.958885767670981
2,0.9996051014468584,0.0003948985531416485,0.040433053947340425,0.9595669460526596
3,0.9996150853766597,0.0003849146233403077,0.03918863373867682,0.9608113662613231
4,0.9996135450272088,0.00038645497279116375,0.039129671800657066,0.9608703281993429
5,0.9996212578647813,0.00037874213521875015,0.03809956587997834,0.9619004341200217
6,0.999626410110657,0.0003735898893429883,0.03733337815024376,0.9626666218497563
7,0.9996301338036273,0.00036986619637274814,0.036714216669092935,0.963285783330907
8,0.9996270869611618,0.0003729130388382337,0.03681124934441843,0.9631887506555816
9,0.9996312360740914,0.0003687639259086189,0.03614260262437108,0.9638573973756289
10,0.9996343384197113,0.00036566158028873274,0.03558586987689494,0.9644141301231051
11,0.9996367472602764,0.00036325273972356327,0.035103683510211814,0.9648963164897881
12,0.9996386674490096,0.00036133255099029003,0.03467449254498691,0.965325507455013
13,0.9996402344780391,0.00035976552196096843,0.03428424638197749,0.9657157536180225
14,0.9996415280955426,0.0003584719044573923,0.03392420791155828,0.9660757920884417
15,0.9996426234842777,0.000357376515722373,0.03358705770811281,0.9664129422918871
16,0.999643563696056,0.0003564363039439042,0.033268343033450595,0.9667316569665495
17,0.9996443799458901,0.0003556200541099472,0.03296485464703314,0.9670351453529669
18,0.9996450940545382,0.0003549059454618224,0.032674295232074047,0.9673257047679259
19,0.9996457229728072,0.00035427702719281236,0.032394908236567654,0.9676050917634323
20,0.9996462805197354,0.00035371948026460386,0.03212529614912994,0.96787470385087
21,0.9996467766395413,0.00035322336045880284,0.03186441347863704,0.9681355865213629
22,0.9996472192090633,0.00035278079093663793,0.031611419139946015,0.968388580860054
23,0.9996476146669234,0.00035238533307656376,0.03136562084078458,0.9686343791592154
24,0.9996479685670748,0.000352031432925211,0.0311264364677731,0.9688735635322269
25,0.999648285787712,0.00035171421228785666,0.03089337400982726,0.9691066259901727
26,0.9996485694461631,0.0003514305538369556,0.030666032296798786,0.9693339677032012
27,0.9996488229998015,0.0003511770001985488,0.03044404980578373,0.9695559501942163
28,0.9996490492603288,0.000350950739671105,0.03022711902414307,0.9697728809758569
29,0.9996492504513231,0.0003507495486768583,0.03001496465966594,0.969985035340334
30,0.9996494674617561,0.00035053253824389804,0.029803027604807072,0.970196972395193
31,0.9996496206128164,0.0003503793871836722,0.029600140829846303,0.9703998591701537
32,0.9996497545131731,0.0003502454868270146,0.029401307333057305,0.9705986926669428
33,0.9996498707698278,0.0003501292301722232,0.029206373035211453,0.9707936269647887
34,0.9996499729166715,0.0003500270833286142,0.02901493476171092,0.9709850652382891
35,0.9996500567873059,0.0003499432126940812,0.028827388946511392,0.9711726110534886
36,0.9996501260853577,0.00034987391464221955,0.028643359642661632,0.9713566403573384
37,0.9996501813369888,0.0003498186630112105,0.028462699772462297,0.9715373002275378
38,0.9996502234438612,0.0003497765561387335,0.02828534626019848,0.9717146537398015
39,0.9996502528855679,0.0003497471144320459,0.028111178839328527,0.9718888211606714
40,0.9996502702262478,0.00034972977375222626,0.027940118473885157,0.9720598815261149
41,0.9996502759735335,0.0003497240264664625,0.02777209653055449,0.9722279034694454
42,0.9996502705277199,0.00034972947227998705,0.027607035467570363,0.9723929645324296
43,0.999650254250058,0.0003497457499418873,0.027444868874277557,0.9725551311257226
44,0.999650227468916,0.0003497725310840417,0.027285522130704162,0.9727144778692958
45,0.9996501904671707,0.0003498095328292679,0.02712897108939787,0.9728710289106022
46,0.9996501434767554,0.0003498565232445715,0.02697515319757613,0.9730248468024238
47,0.999650086700754,0.0003499132992460542,0.02682398776731695,0.9731760122326831
48,0.9996500202993109,0.00034997970068909886,0.026675487967083744,0.9733245120329163
49,0.9996499443678962,0.00035005563210385867,0.026529602246056553,0.9734703977539435
50,0.9996498590202826,0.0003501409797174423,0.026386288620100302,0.9736137113798996
51,0.9996497642643185,0.00035023573568156575,0.02624553883982509,0.9737544611601749
52,0.999649660165636,0.0003503398343639724,0.026107319196452795,0.9738926808035472
53,0.9996495467808014,0.0003504532191985921,0.025971581001169152,0.9740284189988309
54,0.9996494240386485,0.0003505759613514489,0.025838331434790574,0.9741616685652094
55,0.9996492917796027,0.0003507082203972653,0.025707589541497593,0.9742924104585025
56,0.9996491499697835,0.00035085003021660747,0.025579328743982704,0.9744206712560173
57,0.9996489985811692,0.00035100141883079316,0.025453522336292972,0.974546477663707
58,0.9996488372353228,0.0003511627646771761,0.02533023412814221,0.9746697658718577
