Dates,P01,P10,P00,P11
09/01/2018 06:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 06:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 07:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 08:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 09:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 10:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:40,1.60E-02,4.16E-04,9.84E-01,1.00E+00
09/01/2018 11:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 11:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 12:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
