,0,1,2,3,4
_profit_USDEUR_bid_4_P04,[6.17397887],3.085662549008138e-06,-0.011943786326385927,-0.011181109635200264,"[[   0  561   98]
 [   0 4041  734]
 [   0  503  101]]"
_profit_USDEUR_bid_4_P05,[4.81535826],1.5848224909525467e-06,-0.013116104926826942,-0.012392734207727452,"[[   0  597   62]
 [   0 4310  465]
 [   0  531   73]]"
_profit_USDEUR_bid_4_P06,[7.63193471],4.347070754224146e-06,-0.0115585580586472,-0.010913266413213623,"[[   0  516  143]
 [   0 3854  921]
 [   0  487  117]]"
_profit_USDEUR_bid_4_P07,[6.31045574],2.6097982920926588e-06,-0.01229875125587775,-0.01160729781547719,"[[   0  548  111]
 [   0 4000  775]
 [   0  508   96]]"
_profit_USDEUR_bid_4_P08,[6.30331705],3.1920549130269582e-06,-0.011792872254867633,-0.011015700458301227,"[[   0  556  103]
 [   0 3981  794]
 [   0  493  111]]"
_profit_USDEUR_bid_4_P09,[8.07892134],4.421195301800171e-06,-0.011563732856526447,-0.010954475268361944,"[[   0  512  147]
 [   0 3800  975]
 [   0  472  132]]"
_profit_USDGBP_ask_2_P00,[2.67944627],-2.180166477315454e-05,-0.018057314220835147,-0.01600828512375607,"[[   0  593   97]
 [   0 2878 1856]
 [   0  537   77]]"
_profit_USDGBP_ask_2_P01,[3.46979048],-2.7067605168422922e-05,-0.018018115772507566,-0.016487177069247627,"[[   0  375  315]
 [   0 3332 1402]
 [   0  319  295]]"
_profit_USDGBP_ask_2_P02,[2.47462502],-2.363592657907994e-05,-0.01725066109185676,-0.015112968944223877,"[[   0  543  147]
 [   0 2783 1951]
 [   0  507  107]]"
_profit_USDGBP_ask_2_P03,[4.35274946],-3.0336259983949742e-05,-0.017877915998193737,-0.016669890321906022,"[[   0  372  318]
 [   0 3094 1640]
 [   0  310  304]]"
_profit_USDGBP_bid_5_P00,[0.88079162],-6.736312952464012e-06,-0.01917691629541362,-0.010221986138016526,"[[   0  645   45]
 [   0 4225  509]
 [   0  594   20]]"
_profit_USDGBP_bid_5_P01,[1.66117473],-1.3192020688762307e-05,-0.019270396186306625,-0.015561399666600167,"[[   0  554  136]
 [   0 3854  880]
 [   0  482  132]]"
_profit_USDGBP_bid_5_P010,[1.39872567],-1.4231771794820922e-05,-0.018712147519119406,-0.014497994558469575,"[[   0  550  140]
 [   0 3801  933]
 [   0  503  111]]"
_profit_USDGBP_bid_5_P011,[1.46433933],-1.53503232339322e-05,-0.018492239025465748,-0.014579374088180108,"[[   0  552  138]
 [   0 3717 1017]
 [   0  504  110]]"
_profit_USDGBP_bid_5_P012,[0.71814716],-3.710437755319245e-06,-0.021174985647508433,-0.005685143338329211,"[[   0  666   24]
 [   0 4420  314]
 [   0  598   16]]"
_profit_USDGBP_bid_5_P013,[1.37518492],-1.4365880342883558e-05,-0.018683328328850498,-0.014430619380717258,"[[   0  557  133]
 [   0 3770  964]
 [   0  513  101]]"
_profit_USDGBP_bid_5_P014,[1.41217234],-1.477271896670723e-05,-0.018642812268593833,-0.01453448538635399,"[[   0  554  136]
 [   0 3754  980]
 [   0  502  112]]"
_profit_USDGBP_bid_5_P015,[0.22475104],-1.8531447752278362e-06,-0.02140195376337691,0.010202934039117062,"[[   0  670   20]
 [   0 4593  141]
 [   0  607    7]]"
_profit_USDGBP_bid_5_P016,[0.26062564],-2.0579156295623673e-06,-0.021897633862819194,0.009034155772643526,"[[   0  678   12]
 [   0 4578  156]
 [   0  595   19]]"
_profit_USDGBP_bid_5_P017,[0.35385409],-2.2188484921824267e-06,-0.022137951312704622,0.0070118290426814285,"[[   0  669   21]
 [   0 4547  187]
 [   0  605    9]]"
_profit_USDGBP_bid_5_P018,[1.68397785],-1.4888006394120317e-05,-0.01922845092930059,-0.015700796658003353,"[[   0  553  137]
 [   0 3724 1010]
 [   0  492  122]]"
_profit_USDGBP_bid_5_P019,[0.43872747],-3.220498833505127e-06,-0.021364325787343576,0.001639551267020586,"[[   0  668   22]
 [   0 4496  238]
 [   0  585   29]]"
_profit_USDGBP_bid_5_P02,[1.3466286],-1.0050010956300886e-05,-0.02012869920634077,-0.015105742831731342,"[[   0  587  103]
 [   0 4022  712]
 [   0  526   88]]"
_profit_USDGBP_bid_5_P020,[0.84443534],-8.518613988727301e-06,-0.01990862855715805,-0.011489986638574794,"[[   0  618   72]
 [   0 4294  440]
 [   0  548   66]]"
_profit_USDGBP_bid_5_P021,[0.8825509],-8.74611919404588e-06,-0.01879762001996015,-0.011081460586245387,"[[   0  610   80]
 [   0 4141  593]
 [   0  534   80]]"
_profit_USDGBP_bid_5_P022,[1.11746427],-1.0933377475009504e-05,-0.020484676790446417,-0.014557194676783033,"[[   0  612   78]
 [   0 4170  564]
 [   0  532   82]]"
_profit_USDGBP_bid_5_P023,[1.3536583],-1.2235152695856587e-05,-0.019080267000679364,-0.01443683256117195,"[[   0  569  121]
 [   0 3890  844]
 [   0  519   95]]"
_profit_USDGBP_bid_5_P024,[1.00532752],-6.93839651160747e-06,-0.019705326059918808,-0.011815864645023226,"[[   0  602   88]
 [   0 4267  467]
 [   0  552   62]]"
_profit_USDGBP_bid_5_P03,[1.39302524],-1.1105082731615444e-05,-0.01978695554629119,-0.015090748990061405,"[[   0  580  110]
 [   0 3954  780]
 [   0  520   94]]"
_profit_USDGBP_bid_5_P04,[1.64786753],-1.3514017519628558e-05,-0.019286240537878474,-0.015572711862688292,"[[   0  562  128]
 [   0 3809  925]
 [   0  494  120]]"
_profit_USDGBP_bid_5_P05,[0.39262916],-2.9017086097936194e-06,-0.02022532185552525,0.0034846648343539927,"[[   0  673   17]
 [   0 4516  218]
 [   0  602   12]]"
_profit_USDGBP_bid_5_P06,[1.48336217],-1.2913568957303325e-05,-0.018923502936861045,-0.014749934089657805,"[[   0  571  119]
 [   0 3928  806]
 [   0  497  117]]"
_profit_USDGBP_bid_5_P07,[0.29117632],-1.2318375177129373e-06,-0.022056536785633282,0.012015709480353168,"[[   0  682    8]
 [   0 4636   98]
 [   0  607    7]]"
_profit_USDGBP_bid_5_P08,[0.36230919],-2.6476628014496433e-06,-0.020949881592546345,0.0050396301327912665,"[[   0  670   20]
 [   0 4557  177]
 [   0  589   25]]"
_profit_USDGBP_bid_5_P09,[0.49552515],-3.880784611660566e-06,-0.020205684982524855,-0.00136001592081198,"[[   0  647   43]
 [   0 4524  210]
 [   0  572   42]]"
_profit_USDJPY_ask_3_P00,[0.],0.0,-inf,0.013778834511609878,"[[   0  641   52]
 [   0 4326  355]
 [   0  628   36]]"
_profit_USDJPY_ask_3_P01,[0.],0.0,-inf,0.013778834511609878,"[[   0  554  139]
 [   0 3758  923]
 [   0  546  118]]"
_profit_USDJPY_ask_3_P02,[0.],0.0,-inf,0.013778834511609878,"[[   0  602   91]
 [   0 4037  644]
 [   0  597   67]]"
_profit_USDJPY_ask_3_P03,[0.],0.0,-inf,0.013778834511609878,"[[   0  599   94]
 [   0 4032  649]
 [   0  576   88]]"
_profit_USDJPY_ask_3_P04,[0.],0.0,-inf,0.013778834511609878,"[[   0  605   88]
 [   0 4103  578]
 [   0  601   63]]"
_profit_USDJPY_ask_3_P05,[0.],0.0,-inf,0.013778834511609878,"[[   0  588  105]
 [   0 4006  675]
 [   0  571   93]]"
_profit_USDJPY_ask_3_P06,[0.],0.0,-inf,0.013778834511609878,"[[   0  665   28]
 [   0 4441  240]
 [   0  641   23]]"
_profit_USDJPY_ask_3_P07,[0.],0.0,-inf,0.013778834511609878,"[[   0  590  103]
 [   0 3966  715]
 [   0  579   85]]"
_profit_USDJPY_ask_3_P08,[0.],0.0,-inf,0.013778834511609878,"[[   0  555  138]
 [   0 3526 1155]
 [   0  541  123]]"
_profit_USDJPY_bid_3_P00,[0.],0.0,-inf,0.013778834511609878,"[[   0  478  215]
 [   0 3724  957]
 [   0  456  208]]"
_profit_USDJPY_bid_3_P01,[0.],0.0,-inf,0.013778834511609878,"[[   0  664   29]
 [   0 4295  386]
 [   0  619   45]]"
_profit_USDJPY_bid_3_P02,[0.],0.0,-inf,0.013778834511609878,"[[   0  577  116]
 [   0 3781  900]
 [   0  558  106]]"
_profit_USDJPY_bid_3_P03,[0.],0.0,-inf,0.013778834511609878,"[[   0  661   32]
 [   0 4512  169]
 [   0  618   46]]"
_profit_USDJPY_bid_3_P04,[0.],0.0,-inf,0.013778834511609878,"[[   0  642   51]
 [   0 4173  508]
 [   0  620   44]]"
_profit_USDJPY_bid_3_P05,[0.],0.0,-inf,0.013778834511609878,"[[   0  533  160]
 [   0 3818  863]
 [   0  523  141]]"
_profit_USDJPY_bid_3_P06,[0.],0.0,-inf,0.013778834511609878,"[[   0  557  136]
 [   0 3778  903]
 [   0  546  118]]"
_profit_USDJPY_bid_3_P07,[0.],0.0,-inf,0.013778834511609878,"[[   0  655   38]
 [   0 4370  311]
 [   0  624   40]]"
_profit_USDJPY_bid_3_P08,[0.],0.0,-inf,0.013778834511609878,"[[   0  553  140]
 [   0 3713  968]
 [   0  537  127]]"
ask_spd_USDEUR_2_P00,[1.95071583],-2.3646379101761471e-07,-0.014889736879147946,-0.012828723662302394,"[[   0  621   38]
 [   0 4564  211]
 [   0  564   40]]"
ask_spd_USDEUR_2_P01,[7.69374373],4.810277342262352e-06,-0.011125911658490934,-0.010424501091394145,"[[   0  547  112]
 [   0 3710 1065]
 [   0  489  115]]"
ask_spd_USDEUR_2_P02,[2.22264302],1.602356976666614e-06,-0.010842590498872843,-0.007081755284659578,"[[   0  638   21]
 [   0 4413  362]
 [   0  598    6]]"
